subject,date,crossing number,run,limb_undom,limb,human_hit,human_miss,human_step
MC30,11/6/19,5,R3,Back Right,Dominant Back,4,0,4
MC30,11/6/19,5,R3,Back Left,Nondominant Back,3,0,3
MC30,11/6/19,6,L3,Front Right,Dominant Front,3,1,4
MC30,11/6/19,6,L3,Front Left,Nondominant Front,4,0,4
MC30,11/6/19,6,L3,Back Right,Dominant Back,4,0,4
MC30,11/6/19,6,L3,Back Left,Nondominant Back,3,0,3
MC30,11/6/19,7,R4,Front Right,Dominant Front,6,2,8
MC30,11/6/19,7,R4,Front Left,Nondominant Front,6,0,6
MC30,11/6/19,7,R4,Back Right,Dominant Back,3,2,5
MC30,11/6/19,7,R4,Back Left,Nondominant Back,5,0,5
MC30,11/6/19,8,L4,Front Right,Dominant Front,2,2,4
MC30,11/6/19,8,L4,Front Left,Nondominant Front,5,0,5
MC30,11/6/19,8,L4,Back Right,Dominant Back,4,0,4
MC30,11/6/19,8,L4,Back Left,Nondominant Back,4,0,4
MC30,12/2/19,1,R1,Front Right,Dominant Front,3,2,5
MC30,12/2/19,1,R1,Front Left,Nondominant Front,5,1,6
MC30,12/2/19,1,R1,Back Right,Dominant Back,4,1,5
MC30,12/2/19,1,R1,Back Left,Nondominant Back,4,0,4
MC30,12/2/19,2,L1,Front Right,Dominant Front,6,2,8
MC30,12/2/19,2,L1,Front Left,Nondominant Front,8,0,8
MC30,12/2/19,2,L1,Back Right,Dominant Back,3,1,4
MC30,12/2/19,2,L1,Back Left,Nondominant Back,4,1,5
MC30,12/2/19,3,R2,Front Right,Dominant Front,5,0,5
MC30,12/2/19,3,R2,Front Left,Nondominant Front,5,0,5
MC30,12/2/19,3,R2,Back Right,Dominant Back,3,0,3
MC30,12/2/19,3,R2,Back Left,Nondominant Back,4,0,4
MC30,12/2/19,4,L2,Front Right,Dominant Front,3,2,5
MC30,12/2/19,4,L2,Front Left,Nondominant Front,7,1,8
MC30,12/2/19,4,L2,Back Right,Dominant Back,4,1,5
MC30,12/2/19,4,L2,Back Left,Nondominant Back,4,0,4
MC30,12/2/19,5,R3,Front Right,Dominant Front,5,2,7
MC30,12/2/19,5,R3,Front Left,Nondominant Front,4,1,5
MC30,12/2/19,5,R3,Back Right,Dominant Back,4,0,4
MC30,12/2/19,5,R3,Back Left,Nondominant Back,4,0,4
MC30,12/2/19,6,L3,Front Right,Dominant Front,5,2,7
MC30,12/2/19,6,L3,Front Left,Nondominant Front,6,0,6
MC30,12/2/19,6,L3,Back Right,Dominant Back,3,2,5
MC30,12/2/19,6,L3,Back Left,Nondominant Back,5,1,6
MC30,12/2/19,7,R4,Front Right,Dominant Front,4,2,6
MC30,12/2/19,7,R4,Front Left,Nondominant Front,6,0,6
MC30,12/2/19,7,R4,Back Right,Dominant Back,3,0,3
MC30,12/2/19,7,R4,Back Left,Nondominant Back,4,0,4
MC30,12/2/19,8,L4,Front Right,Dominant Front,5,0,5
MC30,12/2/19,8,L4,Front Left,Nondominant Front,5,0,5
MC30,12/2/19,8,L4,Back Right,Dominant Back,5,0,5
MC30,12/2/19,8,L4,Back Left,Nondominant Back,4,0,4
MC30,12/3/19,1,R1,Front Right,Dominant Front,4,0,4
MC30,12/3/19,1,R1,Front Left,Nondominant Front,6,0,6
MC30,12/3/19,1,R1,Back Right,Dominant Back,4,1,5
MC30,12/3/19,1,R1,Back Left,Nondominant Back,3,0,3
MC30,12/3/19,2,L1,Front Right,Dominant Front,5,1,6
MC30,12/3/19,2,L1,Front Left,Nondominant Front,6,0,6
MC30,12/3/19,2,L1,Back Right,Dominant Back,4,0,4
MC30,12/3/19,2,L1,Back Left,Nondominant Back,5,1,6
MC30,12/3/19,3,R2,Front Right,Dominant Front,5,2,7
MC30,12/3/19,3,R2,Front Left,Nondominant Front,6,1,7
MC30,12/3/19,3,R2,Back Right,Dominant Back,4,0,4
MC30,12/3/19,3,R2,Back Left,Nondominant Back,3,0,3
MC30,12/3/19,4,L2,Front Right,Dominant Front,4,1,5
MC30,12/3/19,4,L2,Front Left,Nondominant Front,7,0,7
MC30,12/3/19,4,L2,Back Right,Dominant Back,5,1,6
MC30,12/3/19,4,L2,Back Left,Nondominant Back,4,0,4
MC30,12/3/19,5,R3,Front Right,Dominant Front,3,1,4
MC30,12/3/19,5,R3,Front Left,Nondominant Front,6,1,7
MC30,12/3/19,5,R3,Back Right,Dominant Back,4,0,4
MC30,12/3/19,5,R3,Back Left,Nondominant Back,5,0,5
MC30,12/3/19,6,L3,Front Right,Dominant Front,5,0,5
MC30,12/3/19,6,L3,Front Left,Nondominant Front,5,1,6
MC30,12/3/19,6,L3,Back Right,Dominant Back,3,0,3
MC30,12/3/19,6,L3,Back Left,Nondominant Back,3,1,4
MC30,12/3/19,7,R4,Front Right,Dominant Front,4,0,4
MC30,12/3/19,7,R4,Front Left,Nondominant Front,6,0,6
MC30,12/3/19,7,R4,Back Right,Dominant Back,4,0,4
MC30,12/3/19,7,R4,Back Left,Nondominant Back,3,0,3
MC30,12/3/19,8,L4,Front Right,Dominant Front,4,1,5
MC30,12/3/19,8,L4,Front Left,Nondominant Front,4,2,6
MC30,12/3/19,8,L4,Back Right,Dominant Back,3,0,3
MC30,12/3/19,8,L4,Back Left,Nondominant Back,2,1,3
MC30,12/4/19,1,R1,Front Right,Dominant Front,5,0,5
MC30,12/4/19,1,R1,Front Left,Nondominant Front,7,1,8
MC30,12/4/19,1,R1,Back Right,Dominant Back,3,0,3
MC30,12/4/19,1,R1,Back Left,Nondominant Back,4,1,5
MC30,12/4/19,2,L1,Front Right,Dominant Front,5,1,6
MC30,12/4/19,2,L1,Front Left,Nondominant Front,6,0,6
MC30,12/4/19,2,L1,Back Right,Dominant Back,3,0,3
MC30,12/4/19,2,L1,Back Left,Nondominant Back,4,0,4
MC30,12/4/19,3,R2,Front Right,Dominant Front,4,0,4
MC30,12/4/19,3,R2,Front Left,Nondominant Front,5,0,5
MC30,12/4/19,3,R2,Back Right,Dominant Back,4,0,4
MC30,12/4/19,3,R2,Back Left,Nondominant Back,4,0,4
MC30,12/4/19,4,L2,Front Right,Dominant Front,4,0,4
MC30,12/4/19,4,L2,Front Left,Nondominant Front,8,0,8
MC30,12/4/19,4,L2,Back Right,Dominant Back,5,0,5
MC30,12/4/19,4,L2,Back Left,Nondominant Back,4,0,4
MC30,12/4/19,5,R3,Front Right,Dominant Front,4,0,4
MC30,12/4/19,5,R3,Front Left,Nondominant Front,6,0,6
MC30,12/4/19,5,R3,Back Right,Dominant Back,4,0,4
MC30,12/4/19,5,R3,Back Left,Nondominant Back,3,1,4
MC30,12/4/19,6,L3,Front Right,Dominant Front,3,2,5
MC30,12/4/19,6,L3,Front Left,Nondominant Front,5,0,5
MC30,12/4/19,6,L3,Back Right,Dominant Back,3,1,4
MC30,12/4/19,6,L3,Back Left,Nondominant Back,4,0,4
MC30,12/4/19,7,R4,Front Right,Dominant Front,4,0,4
MC30,12/4/19,7,R4,Front Left,Nondominant Front,4,0,4
MC30,12/4/19,7,R4,Back Right,Dominant Back,4,0,4
MC30,12/4/19,7,R4,Back Left,Nondominant Back,4,0,4
MC30,12/4/19,8,L4,Front Right,Dominant Front,5,1,6
MC30,12/4/19,8,L4,Front Left,Nondominant Front,7,0,7
MC30,12/4/19,8,L4,Back Right,Dominant Back,4,0,4
MC30,12/4/19,8,L4,Back Left,Nondominant Back,4,0,4
MC70,3/11/19,1,R1,Front Right,Dominant Front,4,1,5
MC70,3/11/19,1,R1,Front Left,Nondominant Front,2,2,4
MC70,3/11/19,1,R1,Back Right,Dominant Back,4,0,4
MC70,3/11/19,1,R1,Back Left,Nondominant Back,6,0,6
MC70,3/11/19,2,L1,Front Right,Dominant Front,4,0,4
MC70,3/11/19,2,L1,Front Left,Nondominant Front,4,0,4
MC70,3/11/19,2,L1,Back Right,Dominant Back,4,0,4
MC70,3/11/19,2,L1,Back Left,Nondominant Back,4,0,4
MC70,3/11/19,3,R2,Front Right,Dominant Front,5,0,5
MC70,3/11/19,3,R2,Front Left,Nondominant Front,5,0,5
MC70,3/11/19,3,R2,Back Right,Dominant Back,4,1,5
MC70,3/11/19,3,R2,Back Left,Nondominant Back,5,0,5
MC70,3/11/19,4,L2,Front Right,Dominant Front,4,1,5
MC70,3/11/19,4,L2,Front Left,Nondominant Front,4,0,4
MC70,3/11/19,4,L2,Back Right,Dominant Back,4,0,4
MC70,3/11/19,4,L2,Back Left,Nondominant Back,4,0,4
MC70,3/11/19,5,R3,Front Right,Dominant Front,4,0,4
MC70,3/11/19,5,R3,Front Left,Nondominant Front,4,1,5
MC70,3/11/19,5,R3,Back Right,Dominant Back,4,0,4
MC70,3/11/19,5,R3,Back Left,Nondominant Back,4,0,4
MC70,3/11/19,6,L3,Front Right,Dominant Front,6,0,6
MC70,3/11/19,6,L3,Front Left,Nondominant Front,4,2,6
MC70,3/11/19,6,L3,Back Right,Dominant Back,4,0,4
MC70,3/11/19,6,L3,Back Left,Nondominant Back,4,1,5
MC70,3/11/19,7,R4,Front Right,Dominant Front,5,0,5
MC70,3/11/19,7,R4,Front Left,Nondominant Front,6,0,6
MC70,3/11/19,7,R4,Back Right,Dominant Back,4,0,4
MC70,3/11/19,7,R4,Back Left,Nondominant Back,5,0,5
MC70,3/11/19,8,L4,Front Right,Dominant Front,4,0,4
MC70,3/11/19,8,L4,Front Left,Nondominant Front,3,2,5
MC70,3/11/19,8,L4,Back Right,Dominant Back,4,0,4
MC70,3/11/19,8,L4,Back Left,Nondominant Back,7,0,7
MC70,3/11/19,9,R5,Front Right,Dominant Front,5,0,5
